GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,ANPSADPI,E3N001,E3N002,E3N003,E3N004,E3N005,E3N006,E3N007,E3N008,E3N009
GIS Join Match Code,Data File Year,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,Reservation/Trust Lands Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,County Name,County Code,County Subdivision Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,5-Digit ZIP Code Code,Congressional District (103rd) Code,Area Name/PSAD Term/Part Indicator,Native (001-099): Born in State of residence,"Native (001-099): Born in other State in the United States (001-059): Northeast (009, 023, 025, 033-034, 036, 042-044, 050)","Native (001-099): Born in other State in the United States (001-059): Midwest (017-020, 026-027, 029, 031, 038-039, 046, 055)","Native (001-099): Born in other State in the United States (001-059): South (001, 005, 010-014, 021-022, 024, 028, 037, 040, 045, 047-048, 051-052, 054)","Native (001-099): Born in other State in the United States (001-059): West (002-004, 006-008, 015-016, 030, 032, 035, 041, 049, 053, 056-059)",Native (001-099): Born outside the United States (060-099): Puerto Rico (072-075),"Native (001-099): Born outside the United States (060-099): U.S. outlying area (060-071, 076-099)",Native (001-099): Born outside the United States (060-099): Born abroad of American parent(s),Foreign born (100-999)
"G1901850","1990",,,,,,,,,,"Wayne","185",,"4","9999",,"9999","2","Iowa","19",,,,,"Wayne County",5601,22,1151,102,142,0,0,28,21
"G1901870","1990",,,,,,,,,,"Webster","187",,"4","9999",,"9999","2","Iowa","19",,,,,"Webster County",33513,320,4013,1004,1054,7,0,62,369
"G1901890","1990",,,,,,,,,,"Winnebago","189",,"4","9999",,"9999","2","Iowa","19",,,,,"Winnebago County",8639,79,2828,117,225,0,0,75,159
"G1901910","1990",,,,,,,,,,"Winneshiek","191",,"4","9999",,"9999","2","Iowa","19",,,,,"Winneshiek County",16143,194,3661,257,280,0,0,56,256
"G1901930","1990",,,,,,,,,,"Woodbury","193",,"4","7720",,"9999","2","Iowa","19",,,,,"Woodbury County",70693,1104,17279,3146,3064,32,5,275,2678
"G1901950","1990",,,,,,,,,,"Worth","195",,"4","9999",,"9999","2","Iowa","19",,,,,"Worth County",6184,51,1475,71,147,0,0,21,42
"G1901970","1990",,,,,,,,,,"Wright","197",,"4","9999",,"9999","2","Iowa","19",,,,,"Wright County",12205,129,1324,189,274,0,0,34,114
"G2000010","1990",,,,,,,,,,"Allen","001",,"4","9999",,"9999","2","Kansas","20",,,,,"Allen County",11082,142,1754,927,591,0,2,50,90
"G2000030","1990",,,,,,,,,,"Anderson","003",,"4","9999",,"9999","2","Kansas","20",,,,,"Anderson County",6115,98,869,452,235,0,0,0,34
"G2000050","1990",,,,,,,,,,"Atchison","005",,"4","9999",,"9999","2","Kansas","20",,,,,"Atchison County",12424,205,2860,588,429,0,0,45,381
"G2000070","1990",,,,,,,,,,"Barber","007",,"4","9999",,"9999","2","Kansas","20",,,,,"Barber County",4214,46,388,951,224,0,0,9,42
"G2000090","1990",,,,,,,,,,"Barton","009",,"4","9999",,"9999","2","Kansas","20",,,,,"Barton County",23577,235,2076,1995,914,20,3,157,405
"G2000110","1990",,,,,,,,,,"Bourbon","011",,"4","9999",,"9999","2","Kansas","20",,,,,"Bourbon County",10716,94,2615,928,501,8,0,42,62
"G2000130","1990",,,,,,,,,,"Brown","013",,"4","9999",,"9999","2","Kansas","20",,,,,"Brown County",7778,108,2225,516,375,0,0,42,84
"G2000150","1990",,,,,,,,,,"Butler","015",,"4","9040",,"9999","2","Kansas","20",,,,,"Butler County",36424,639,5286,5493,2134,2,0,159,443
"G2000170","1990",,,,,,,,,,"Chase","017",,"4","9999",,"9999","2","Kansas","20",,,,,"Chase County",2400,41,229,190,133,0,0,18,10
"G2000190","1990",,,,,,,,,,"Chautauqua","019",,"4","9999",,"9999","2","Kansas","20",,,,,"Chautauqua County",2876,23,375,857,258,0,0,7,11
"G2000210","1990",,,,,,,,,,"Cherokee","021",,"4","9999",,"9999","2","Kansas","20",,,,,"Cherokee County",10682,153,6482,3012,899,0,0,56,90
"G2000230","1990",,,,,,,,,,"Cheyenne","023",,"4","9999",,"9999","2","Kansas","20",,,,,"Cheyenne County",2107,17,583,120,380,0,0,14,22
"G2000250","1990",,,,,,,,,,"Clark","025",,"4","9999",,"9999","2","Kansas","20",,,,,"Clark County",1614,22,232,442,81,0,0,6,21
"G2000270","1990",,,,,,,,,,"Clay","027",,"4","9999",,"9999","2","Kansas","20",,,,,"Clay County",6930,112,888,525,531,5,3,99,65
"G2000290","1990",,,,,,,,,,"Cloud","029",,"4","9999",,"9999","2","Kansas","20",,,,,"Cloud County",9135,68,893,461,335,0,18,44,69
"G2000310","1990",,,,,,,,,,"Coffey","031",,"4","9999",,"9999","2","Kansas","20",,,,,"Coffey County",6307,146,929,674,292,0,0,39,17
"G2000330","1990",,,,,,,,,,"Comanche","033",,"4","9999",,"9999","2","Kansas","20",,,,,"Comanche County",1573,16,172,431,103,0,0,2,16
"G2000350","1990",,,,,,,,,,"Cowley","035",,"4","9999",,"9999","2","Kansas","20",,,,,"Cowley County",25318,418,3076,5942,1390,13,0,126,632
"G2000370","1990",,,,,,,,,,"Crawford","037",,"4","9999",,"9999","2","Kansas","20",,,,,"Crawford County",24435,418,5902,2723,1280,11,16,91,692
"G2000390","1990",,,,,,,,,,"Decatur","039",,"4","9999",,"9999","2","Kansas","20",,,,,"Decatur County",2949,23,655,141,224,0,0,10,19
"G2000410","1990",,,,,,,,,,"Dickinson","041",,"4","9999",,"9999","2","Kansas","20",,,,,"Dickinson County",13831,391,2122,1416,773,2,5,187,231
"G2000430","1990",,,,,,,,,,"Doniphan","043",,"4","9999",,"9999","2","Kansas","20",,,,,"Doniphan County",3582,94,3917,263,246,0,0,6,26
"G2000450","1990",,,,,,,,,,"Douglas","045",,"4","4150",,"9999","2","Kansas","20",,,,,"Douglas County",43307,3086,17977,7091,5607,20,16,566,4128
"G2000470","1990",,,,,,,,,,"Edwards","047",,"4","9999",,"9999","2","Kansas","20",,,,,"Edwards County",2881,39,295,252,215,0,0,11,94
"G2000490","1990",,,,,,,,,,"Elk","049",,"4","9999",,"9999","2","Kansas","20",,,,,"Elk County",2483,56,218,429,124,0,0,6,11
"G2000510","1990",,,,,,,,,,"Ellis","051",,"4","9999",,"9999","2","Kansas","20",,,,,"Ellis County",21508,197,1832,1008,1108,10,0,104,237
"G2000530","1990",,,,,,,,,,"Ellsworth","053",,"4","9999",,"9999","2","Kansas","20",,,,,"Ellsworth County",5145,122,521,408,299,0,0,13,78
"G2000550","1990",,,,,,,,,,"Finney","055",,"4","9999",,"9999","2","Kansas","20",,,,,"Finney County",19474,272,3018,3711,3252,19,3,63,3258
"G2000570","1990",,,,,,,,,,"Ford","057",,"4","9999",,"9999","2","Kansas","20",,,,,"Ford County",18213,275,2386,2584,1477,0,0,85,2443
"G2000590","1990",,,,,,,,,,"Franklin","059",,"4","9999",,"9999","2","Kansas","20",,,,,"Franklin County",15786,238,3624,1155,842,0,7,63,279
"G2000610","1990",,,,,,,,,,"Geary","061",,"4","9999",,"9999","2","Kansas","20",,,,,"Geary County",9079,2085,5249,7438,2855,210,43,1454,2040
"G2000630","1990",,,,,,,,,,"Gove","063",,"4","9999",,"9999","2","Kansas","20",,,,,"Gove County",2851,16,158,54,128,0,0,10,14
"G2000650","1990",,,,,,,,,,"Graham","065",,"4","9999",,"9999","2","Kansas","20",,,,,"Graham County",3002,17,251,117,153,0,0,3,0
"G2000670","1990",,,,,,,,,,"Grant","067",,"4","9999",,"9999","2","Kansas","20",,,,,"Grant County",3943,14,606,1331,927,0,0,16,322
"G2000690","1990",,,,,,,,,,"Gray","069",,"4","9999",,"9999","2","Kansas","20",,,,,"Gray County",4080,33,306,452,311,0,0,43,171
"G2000710","1990",,,,,,,,,,"Greeley","071",,"4","9999",,"9999","2","Kansas","20",,,,,"Greeley County",1176,19,181,150,204,0,0,0,44
"G2000730","1990",,,,,,,,,,"Greenwood","073",,"4","9999",,"9999","2","Kansas","20",,,,,"Greenwood County",6133,44,759,712,163,0,0,17,19
"G2000750","1990",,,,,,,,,,"Hamilton","075",,"4","9999",,"9999","2","Kansas","20",,,,,"Hamilton County",1571,25,226,194,311,0,0,4,57
"G2000770","1990",,,,,,,,,,"Harper","077",,"4","9999",,"9999","2","Kansas","20",,,,,"Harper County",5167,116,417,979,388,6,2,19,30
"G2000790","1990",,,,,,,,,,"Harvey","079",,"4","9040",,"9999","2","Kansas","20",,,,,"Harvey County",22272,371,3585,2494,1237,49,2,273,745
"G2000810","1990",,,,,,,,,,"Haskell","081",,"4","9999",,"9999","2","Kansas","20",,,,,"Haskell County",2535,19,268,547,260,0,0,7,250
"G2000830","1990",,,,,,,,,,"Hodgeman","083",,"4","9999",,"9999","2","Kansas","20",,,,,"Hodgeman County",1822,22,100,132,88,0,0,5,8
"G2000850","1990",,,,,,,,,,"Jackson","085",,"4","9999",,"9999","2","Kansas","20",,,,,"Jackson County",9583,84,974,443,360,1,0,52,28
"G2000870","1990",,,,,,,,,,"Jefferson","087",,"4","9999",,"9999","2","Kansas","20",,,,,"Jefferson County",12051,244,2053,853,580,2,0,38,84
"G2000890","1990",,,,,,,,,,"Jewell","089",,"4","9999",,"9999","2","Kansas","20",,,,,"Jewell County",2998,12,943,114,163,0,0,9,12
"G2000910","1990",,,,,,,,,,"Johnson","091",,"4","3760",,"9999","2","Kansas","20",,,,,"Johnson County",119704,14633,157868,33643,17546,95,58,1902,9605
"G2000930","1990",,,,,,,,,,"Kearny","093",,"4","9999",,"9999","2","Kansas","20",,,,,"Kearny County",2469,9,373,519,443,0,0,13,201
"G2000950","1990",,,,,,,,,,"Kingman","095",,"4","9999",,"9999","2","Kansas","20",,,,,"Kingman County",6587,81,590,623,351,0,0,30,30
"G2000970","1990",,,,,,,,,,"Kiowa","097",,"4","9999",,"9999","2","Kansas","20",,,,,"Kiowa County",2709,48,300,366,215,0,0,6,16
"G2000990","1990",,,,,,,,,,"Labette","099",,"4","9999",,"9999","2","Kansas","20",,,,,"Labette County",17250,279,2339,2847,824,0,0,47,107
"G2001010","1990",,,,,,,,,,"Lane","101",,"4","9999",,"9999","2","Kansas","20",,,,,"Lane County",1863,7,205,174,100,0,0,0,26
"G2001030","1990",,,,,,,,,,"Leavenworth","103",,"4","3760",,"9999","2","Kansas","20",,,,,"Leavenworth County",28884,3253,12150,11486,4425,208,113,1816,2036
"G2001050","1990",,,,,,,,,,"Lincoln","105",,"4","9999",,"9999","2","Kansas","20",,,,,"Lincoln County",3061,39,242,172,97,0,2,26,14
"G2001070","1990",,,,,,,,,,"Linn","107",,"4","9999",,"9999","2","Kansas","20",,,,,"Linn County",5363,80,1946,538,283,0,0,17,27
"G2001090","1990",,,,,,,,,,"Logan","109",,"4","9999",,"9999","2","Kansas","20",,,,,"Logan County",2477,22,263,114,187,0,0,4,14
"G2001110","1990",,,,,,,,,,"Lyon","111",,"4","9999",,"9999","2","Kansas","20",,,,,"Lyon County",25356,622,3658,2140,1577,0,0,154,1225
"G2001130","1990",,,,,,,,,,"McPherson","113",,"4","9999",,"9999","2","Kansas","20",,,,,"McPherson County",20594,414,2573,1878,1241,0,2,165,401
"G2001150","1990",,,,,,,,,,"Marion","115",,"4","9999",,"9999","2","Kansas","20",,,,,"Marion County",9970,166,1018,947,400,0,2,102,283
"G2001170","1990",,,,,,,,,,"Marshall","117",,"4","9999",,"9999","2","Kansas","20",,,,,"Marshall County",9292,114,1639,271,230,0,0,33,126
"G2001190","1990",,,,,,,,,,"Meade","119",,"4","9999",,"9999","2","Kansas","20",,,,,"Meade County",2950,28,339,561,225,0,0,10,134
"G2001210","1990",,,,,,,,,,"Miami","121",,"4","3760",,"9999","2","Kansas","20",,,,,"Miami County",14941,287,5678,1579,754,0,5,88,134
"G2001230","1990",,,,,,,,,,"Mitchell","123",,"4","9999",,"9999","2","Kansas","20",,,,,"Mitchell County",6115,44,560,290,190,0,0,2,2
"G2001250","1990",,,,,,,,,,"Montgomery","125",,"4","9999",,"9999","2","Kansas","20",,,,,"Montgomery County",25390,522,3808,7172,1481,10,0,158,275
"G2001270","1990",,,,,,,,,,"Morris","127",,"4","9999",,"9999","2","Kansas","20",,,,,"Morris County",4753,105,532,395,308,0,0,64,41
"G2001290","1990",,,,,,,,,,"Morton","129",,"4","9999",,"9999","2","Kansas","20",,,,,"Morton County",1783,40,240,845,399,0,0,12,161
"G2001310","1990",,,,,,,,,,"Nemaha","131",,"4","9999",,"9999","2","Kansas","20",,,,,"Nemaha County",8591,66,1155,323,266,0,0,5,40
"G2001330","1990",,,,,,,,,,"Neosho","133",,"4","9999",,"9999","2","Kansas","20",,,,,"Neosho County",13344,148,1580,1291,492,0,0,73,107
"G2001350","1990",,,,,,,,,,"Ness","135",,"4","9999",,"9999","2","Kansas","20",,,,,"Ness County",3494,29,161,170,147,0,0,0,32
"G2001370","1990",,,,,,,,,,"Norton","137",,"4","9999",,"9999","2","Kansas","20",,,,,"Norton County",4420,48,936,194,271,0,5,1,72
"G2001390","1990",,,,,,,,,,"Osage","139",,"4","9999",,"9999","2","Kansas","20",,,,,"Osage County",12133,146,1535,811,530,2,0,51,40
"G2001410","1990",,,,,,,,,,"Osborne","141",,"4","9999",,"9999","2","Kansas","20",,,,,"Osborne County",4104,18,318,171,231,0,0,16,9
"G2001430","1990",,,,,,,,,,"Ottawa","143",,"4","9999",,"9999","2","Kansas","20",,,,,"Ottawa County",4617,63,438,266,205,0,2,24,19
"G2001450","1990",,,,,,,,,,"Pawnee","145",,"4","9999",,"9999","2","Kansas","20",,,,,"Pawnee County",5780,65,585,691,323,9,0,13,89
"G2001470","1990",,,,,,,,,,"Phillips","147",,"4","9999",,"9999","2","Kansas","20",,,,,"Phillips County",5170,30,825,190,278,4,0,26,67
"G2001490","1990",,,,,,,,,,"Pottawatomie","149",,"4","9999",,"9999","2","Kansas","20",,,,,"Pottawatomie County",11856,332,2088,952,622,11,0,68,199
"G2001510","1990",,,,,,,,,,"Pratt","151",,"4","9999",,"9999","2","Kansas","20",,,,,"Pratt County",7403,59,748,994,365,0,8,15,110
"G2001530","1990",,,,,,,,,,"Rawlins","153",,"4","9999",,"9999","2","Kansas","20",,,,,"Rawlins County",2405,53,601,113,221,0,0,4,7
"G2001550","1990",,,,,,,,,,"Reno","155",,"4","9999",,"9999","2","Kansas","20",,,,,"Reno County",46823,696,5653,5263,2602,16,5,401,930
"G2001570","1990",,,,,,,,,,"Republic","157",,"4","9999",,"9999","2","Kansas","20",,,,,"Republic County",5152,38,913,169,188,0,0,2,20
"G2001590","1990",,,,,,,,,,"Rice","159",,"4","9999",,"9999","2","Kansas","20",,,,,"Rice County",8128,110,853,969,431,0,0,30,89
"G2001610","1990",,,,,,,,,,"Riley","161",,"4","9999",,"9999","2","Kansas","20",,,,,"Riley County",28704,3658,12433,10546,5431,234,136,2141,3856
"G2001630","1990",,,,,,,,,,"Rooks","163",,"4","9999",,"9999","2","Kansas","20",,,,,"Rooks County",5094,45,368,296,208,0,0,10,18
"G2001650","1990",,,,,,,,,,"Rush","165",,"4","9999",,"9999","2","Kansas","20",,,,,"Rush County",3307,48,200,159,113,0,2,4,9
"G2001670","1990",,,,,,,,,,"Russell","167",,"4","9999",,"9999","2","Kansas","20",,,,,"Russell County",6365,121,374,558,362,0,0,9,46
"G2001690","1990",,,,,,,,,,"Saline","169",,"4","9999",,"9999","2","Kansas","20",,,,,"Saline County",35534,931,5409,3924,2318,11,0,279,895
"G2001710","1990",,,,,,,,,,"Scott","171",,"4","9999",,"9999","2","Kansas","20",,,,,"Scott County",3982,16,539,366,303,0,0,13,70
"G2001730","1990",,,,,,,,,,"Sedgwick","173",,"4","9040",,"9999","2","Kansas","20",,,,,"Sedgwick County",249246,8579,49401,59562,20009,164,134,2867,13700
"G2001750","1990",,,,,,,,,,"Seward","175",,"4","9999",,"9999","2","Kansas","20",,,,,"Seward County",8569,154,1552,4630,1563,7,0,126,2142
"G2001770","1990",,,,,,,,,,"Shawnee","177",,"4","8440",,"9999","2","Kansas","20",,,,,"Shawnee County",114198,2833,21648,12656,6452,121,26,804,2238
"G2001790","1990",,,,,,,,,,"Sheridan","179",,"4","9999",,"9999","2","Kansas","20",,,,,"Sheridan County",2624,6,223,55,113,0,0,0,22
"G2001810","1990",,,,,,,,,,"Sherman","181",,"4","9999",,"9999","2","Kansas","20",,,,,"Sherman County",4271,73,940,387,1175,0,0,29,51
"G2001830","1990",,,,,,,,,,"Smith","183",,"4","9999",,"9999","2","Kansas","20",,,,,"Smith County",3940,12,722,165,202,0,0,6,31
"G2001850","1990",,,,,,,,,,"Stafford","185",,"4","9999",,"9999","2","Kansas","20",,,,,"Stafford County",4202,32,418,436,208,0,2,16,51
"G2001870","1990",,,,,,,,,,"Stanton","187",,"4","9999",,"9999","2","Kansas","20",,,,,"Stanton County",1369,13,172,300,317,0,0,15,147
"G2001890","1990",,,,,,,,,,"Stevens","189",,"4","9999",,"9999","2","Kansas","20",,,,,"Stevens County",3216,36,253,833,480,0,0,0,230
"G2001910","1990",,,,,,,,,,"Sumner","191",,"4","9999",,"9999","2","Kansas","20",,,,,"Sumner County",18690,287,1948,3539,1023,6,6,33,309
"G2001930","1990",,,,,,,,,,"Thomas","193",,"4","9999",,"9999","2","Kansas","20",,,,,"Thomas County",6051,70,985,379,718,0,0,0,55
"G2001950","1990",,,,,,,,,,"Trego","195",,"4","9999",,"9999","2","Kansas","20",,,,,"Trego County",3225,22,163,118,123,0,0,12,31
"G2001970","1990",,,,,,,,,,"Wabaunsee","197",,"4","9999",,"9999","2","Kansas","20",,,,,"Wabaunsee County",5181,57,661,369,233,0,0,43,59
"G2001990","1990",,,,,,,,,,"Wallace","199",,"4","9999",,"9999","2","Kansas","20",,,,,"Wallace County",1226,17,141,87,337,0,0,0,13
"G2002010","1990",,,,,,,,,,"Washington","201",,"4","9999",,"9999","2","Kansas","20",,,,,"Washington County",5452,31,1221,166,166,0,0,14,23
"G2002030","1990",,,,,,,,,,"Wichita","203",,"4","9999",,"9999","2","Kansas","20",,,,,"Wichita County",2002,11,179,170,300,0,0,14,82
"G2002050","1990",,,,,,,,,,"Wilson","205",,"4","9999",,"9999","2","Kansas","20",,,,,"Wilson County",7814,69,792,1040,471,0,7,38,58
"G2002070","1990",,,,,,,,,,"Woodson","207",,"4","9999",,"9999","2","Kansas","20",,,,,"Woodson County",3168,21,457,349,99,0,0,7,15
"G2002090","1990",,,,,,,,,,"Wyandotte","209",,"4","3760",,"9999","2","Kansas","20",,,,,"Wyandotte County",94414,1771,37154,18960,4853,35,18,601,4187
"G2100010","1990",,,,,,,,,,"Adair","001",,"6","9999",,"9999","3","Kentucky","21",,,,,"Adair County",13000,222,1274,774,53,0,0,24,13
"G2100030","1990",,,,,,,,,,"Allen","003",,"6","9999",,"9999","3","Kentucky","21",,,,,"Allen County",11302,234,1141,1782,119,0,6,12,32
"G2100050","1990",,,,,,,,,,"Anderson","005",,"6","9999",,"9999","3","Kentucky","21",,,,,"Anderson County",12615,180,999,658,38,0,0,27,54
"G2100070","1990",,,,,,,,,,"Ballard","007",,"6","9999",,"9999","3","Kentucky","21",,,,,"Ballard County",5131,73,1908,603,139,0,0,27,21
"G2100090","1990",,,,,,,,,,"Barren","009",,"6","9999",,"9999","3","Kentucky","21",,,,,"Barren County",29506,304,2200,1504,234,0,0,92,161
"G2100110","1990",,,,,,,,,,"Bath","011",,"6","9999",,"9999","3","Kentucky","21",,,,,"Bath County",8859,35,503,212,56,4,6,0,17
"G2100130","1990",,,,,,,,,,"Bell","013",,"6","9999",,"9999","3","Kentucky","21",,,,,"Bell County",25185,204,2270,3493,219,0,0,57,78
"G2100150","1990",,,,,,,,,,"Boone","015",,"6","1642",,"1640","3","Kentucky","21",,,,,"Boone County",38333,1611,12422,3327,985,18,0,230,663
"G2100170","1990",,,,,,,,,,"Bourbon","017",,"6","4280",,"9999","3","Kentucky","21",,,,,"Bourbon County",16648,218,1048,995,167,0,5,72,83
"G2100190","1990",,,,,,,,,,"Boyd","019",,"6","3400",,"9999","3","Kentucky","21",,,,,"Boyd County",36763,853,5114,7071,524,22,20,216,567
"G2100210","1990",,,,,,,,,,"Boyle","021",,"6","9999",,"9999","3","Kentucky","21",,,,,"Boyle County",20494,721,2247,1765,216,0,0,91,107
"G2100230","1990",,,,,,,,,,"Bracken","023",,"6","9999",,"9999","3","Kentucky","21",,,,,"Bracken County",6729,54,721,212,33,0,0,7,10
"G2100250","1990",,,,,,,,,,"Breathitt","025",,"6","9999",,"9999","3","Kentucky","21",,,,,"Breathitt County",13623,121,1354,459,77,0,0,30,39
"G2100270","1990",,,,,,,,,,"Breckinridge","027",,"6","9999",,"9999","3","Kentucky","21",,,,,"Breckinridge County",14688,139,877,476,88,0,0,28,16
"G2100290","1990",,,,,,,,,,"Bullitt","029",,"6","4520",,"9999","3","Kentucky","21",,,,,"Bullitt County",41129,649,2689,2186,512,11,0,142,249
"G2100310","1990",,,,,,,,,,"Butler","031",,"6","9999",,"9999","3","Kentucky","21",,,,,"Butler County",10192,39,604,313,32,0,0,34,31
"G2100330","1990",,,,,,,,,,"Caldwell","033",,"6","9999",,"9999","3","Kentucky","21",,,,,"Caldwell County",11121,105,967,685,216,3,0,34,101
"G2100350","1990",,,,,,,,,,"Calloway","035",,"6","9999",,"9999","3","Kentucky","21",,,,,"Calloway County",19465,629,5093,4416,590,28,0,162,352
"G2100370","1990",,,,,,,,,,"Campbell","037",,"6","1642",,"1640","3","Kentucky","21",,,,,"Campbell County",61259,1210,17370,2537,740,6,2,194,548
"G2100390","1990",,,,,,,,,,"Carlisle","039",,"6","9999",,"9999","3","Kentucky","21",,,,,"Carlisle County",4051,21,687,345,121,0,0,13,0
"G2100410","1990",,,,,,,,,,"Carroll","041",,"6","9999",,"9999","3","Kentucky","21",,,,,"Carroll County",7022,190,1565,361,60,0,0,24,70
"G2100430","1990",,,,,,,,,,"Carter","043",,"6","3400",,"9999","3","Kentucky","21",,,,,"Carter County",20016,263,2439,1337,203,0,0,35,47
"G2100450","1990",,,,,,,,,,"Casey","045",,"6","9999",,"9999","3","Kentucky","21",,,,,"Casey County",12030,346,1120,428,133,0,7,69,78
"G2100470","1990",,,,,,,,,,"Christian","047",,"6","1660",,"9999","3","Kentucky","21",,,,,"Christian County",36632,3825,8605,13039,3142,399,81,1564,1654
"G2100490","1990",,,,,,,,,,"Clark","049",,"6","4280",,"9999","3","Kentucky","21",,,,,"Clark County",24204,480,2679,1471,367,8,0,147,140
"G2100510","1990",,,,,,,,,,"Clay","051",,"6","9999",,"9999","3","Kentucky","21",,,,,"Clay County",19652,121,1401,383,125,0,0,28,36
"G2100530","1990",,,,,,,,,,"Clinton","053",,"6","9999",,"9999","3","Kentucky","21",,,,,"Clinton County",7567,33,548,941,27,0,0,12,7
"G2100550","1990",,,,,,,,,,"Crittenden","055",,"6","9999",,"9999","3","Kentucky","21",,,,,"Crittenden County",7565,66,1060,426,54,0,0,25,0
"G2100570","1990",,,,,,,,,,"Cumberland","057",,"6","9999",,"9999","3","Kentucky","21",,,,,"Cumberland County",5833,77,468,361,32,0,0,8,5
"G2100590","1990",,,,,,,,,,"Daviess","059",,"6","5990",,"9999","3","Kentucky","21",,,,,"Daviess County",72331,1147,7642,4266,1132,0,6,313,352
"G2100610","1990",,,,,,,,,,"Edmonson","061",,"6","9999",,"9999","3","Kentucky","21",,,,,"Edmonson County",9005,61,706,449,105,0,0,17,14
"G2100630","1990",,,,,,,,,,"Elliott","063",,"6","9999",,"9999","3","Kentucky","21",,,,,"Elliott County",5643,31,601,139,34,0,0,7,0
"G2100650","1990",,,,,,,,,,"Estill","065",,"6","9999",,"9999","3","Kentucky","21",,,,,"Estill County",13318,41,901,242,76,0,0,8,28
"G2100670","1990",,,,,,,,,,"Fayette","067",,"6","4280",,"9999","3","Kentucky","21",,,,,"Fayette County",152297,9857,28935,21905,4392,154,27,1171,6628
"G2100690","1990",,,,,,,,,,"Fleming","069",,"6","9999",,"9999","3","Kentucky","21",,,,,"Fleming County",10867,8,936,323,83,0,0,26,49
"G2100710","1990",,,,,,,,,,"Floyd","071",,"6","9999",,"9999","3","Kentucky","21",,,,,"Floyd County",38355,165,3104,1677,198,0,0,47,40
"G2100730","1990",,,,,,,,,,"Franklin","073",,"6","9999",,"9999","3","Kentucky","21",,,,,"Franklin County",35456,880,3876,2470,520,6,0,186,387
"G2100750","1990",,,,,,,,,,"Fulton","075",,"6","9999",,"9999","3","Kentucky","21",,,,,"Fulton County",4240,28,771,3020,125,0,0,23,64
"G2100770","1990",,,,,,,,,,"Gallatin","077",,"6","9999",,"9999","3","Kentucky","21",,,,,"Gallatin County",4412,37,762,148,31,0,0,3,0
"G2100790","1990",,,,,,,,,,"Garrard","079",,"6","9999",,"9999","3","Kentucky","21",,,,,"Garrard County",10202,117,723,423,76,6,0,12,20
"G2100810","1990",,,,,,,,,,"Grant","081",,"6","9999",,"9999","3","Kentucky","21",,,,,"Grant County",12854,131,1874,610,176,12,2,42,36
"G2100830","1990",,,,,,,,,,"Graves","083",,"6","9999",,"9999","3","Kentucky","21",,,,,"Graves County",25727,321,3502,3372,430,9,0,98,91
"G2100850","1990",,,,,,,,,,"Grayson","085",,"6","9999",,"9999","3","Kentucky","21",,,,,"Grayson County",18954,148,803,798,191,0,0,56,100
"G2100870","1990",,,,,,,,,,"Green","087",,"6","9999",,"9999","3","Kentucky","21",,,,,"Green County",9587,48,310,293,61,5,0,22,45
"G2100890","1990",,,,,,,,,,"Greenup","089",,"6","3400",,"9999","3","Kentucky","21",,,,,"Greenup County",23240,487,8417,4080,305,0,0,64,149
"G2100910","1990",,,,,,,,,,"Hancock","091",,"6","9999",,"9999","3","Kentucky","21",,,,,"Hancock County",6117,50,1208,320,103,0,0,25,41
"G2100930","1990",,,,,,,,,,"Hardin","093",,"6","9999",,"9999","3","Kentucky","21",,,,,"Hardin County",46591,4736,12157,14445,4347,294,141,3388,3141
"G2100950","1990",,,,,,,,,,"Harlan","095",,"6","9999",,"9999","3","Kentucky","21",,,,,"Harlan County",31171,141,1885,3112,132,2,3,56,72
"G2100970","1990",,,,,,,,,,"Harrison","097",,"6","9999",,"9999","3","Kentucky","21",,,,,"Harrison County",14245,150,1086,567,101,0,0,18,81
"G2100990","1990",,,,,,,,,,"Hart","099",,"6","9999",,"9999","3","Kentucky","21",,,,,"Hart County",13531,115,602,476,72,0,0,42,52
"G2101010","1990",,,,,,,,,,"Henderson","101",,"6","2440",,"9999","3","Kentucky","21",,,,,"Henderson County",32466,550,7325,1829,516,8,0,147,203
"G2101030","1990",,,,,,,,,,"Henry","103",,"6","9999",,"9999","3","Kentucky","21",,,,,"Henry County",11591,64,718,313,71,0,0,29,37
"G2101050","1990",,,,,,,,,,"Hickman","105",,"6","9999",,"9999","3","Kentucky","21",,,,,"Hickman County",3759,40,581,1086,83,0,0,8,9
"G2101070","1990",,,,,,,,,,"Hopkins","107",,"6","9999",,"9999","3","Kentucky","21",,,,,"Hopkins County",37530,463,4346,2792,614,10,0,148,223
"G2101090","1990",,,,,,,,,,"Jackson","109",,"6","9999",,"9999","3","Kentucky","21",,,,,"Jackson County",10676,37,989,192,36,0,0,17,8
