GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,GNW001
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Tribal Census Tract Code,Block Group Code,Tribal Block Group Code,Consolidated City Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,Tribal Subdivision Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Primary Metropolitan Statistical Area Code,New England County Metropolitan Area Code,Urban Area Code,Urban/Rural Code,Congressional District (106th) Code,Congressional District (108th) Code,Congressional District (109th) Code,3-Digit Zip Code Tabulation Area Code,5-Digit Zip Code Tabulation Area Code,Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,Per capita income in 1999
"G0100790","2000","3","6","Alabama","01","Lawrence","079",,,,,,,,,,,,,"2030","9999","9999",,,,,,,,"Lawrence County",16515
"G0100810","2000","3","6","Alabama","01","Lee","081",,,,,,,,,,,,,"0580","9999","9999",,,,,,,,"Lee County",17158
"G0100830","2000","3","6","Alabama","01","Limestone","083",,,,,,,,,,,,,"3440","9999","9999",,,,,,,,"Limestone County",17782
"G0100850","2000","3","6","Alabama","01","Lowndes","085",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Lowndes County",12457
"G0100870","2000","3","6","Alabama","01","Macon","087",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Macon County",13714
"G0100890","2000","3","6","Alabama","01","Madison","089",,,,,,,,,,,,,"3440","9999","9999",,,,,,,,"Madison County",23091
"G0100910","2000","3","6","Alabama","01","Marengo","091",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Marengo County",15308
"G0100930","2000","3","6","Alabama","01","Marion","093",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Marion County",15321
"G0100950","2000","3","6","Alabama","01","Marshall","095",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Marshall County",17089
"G0100970","2000","3","6","Alabama","01","Mobile","097",,,,,,,,,,,,,"5160","9999","9999",,,,,,,,"Mobile County",17178
"G0100990","2000","3","6","Alabama","01","Monroe","099",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Monroe County",14862
"G0101010","2000","3","6","Alabama","01","Montgomery","101",,,,,,,,,,,,,"5240","9999","9999",,,,,,,,"Montgomery County",19358
"G0101030","2000","3","6","Alabama","01","Morgan","103",,,,,,,,,,,,,"2030","9999","9999",,,,,,,,"Morgan County",19223
"G0101050","2000","3","6","Alabama","01","Perry","105",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Perry County",10948
"G0101070","2000","3","6","Alabama","01","Pickens","107",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Pickens County",13746
"G0101090","2000","3","6","Alabama","01","Pike","109",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Pike County",14904
"G0101110","2000","3","6","Alabama","01","Randolph","111",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Randolph County",14147
"G0101130","2000","3","6","Alabama","01","Russell","113",,,,,,,,,,,,,"1800","9999","9999",,,,,,,,"Russell County",14015
"G0101150","2000","3","6","Alabama","01","St Clair","115",,,,,,,,,,,,,"1000","9999","9999",,,,,,,,"St. Clair County",17960
"G0101170","2000","3","6","Alabama","01","Shelby","117",,,,,,,,,,,,,"1000","9999","9999",,,,,,,,"Shelby County",27176
"G0101190","2000","3","6","Alabama","01","Sumter","119",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Sumter County",11491
"G0101210","2000","3","6","Alabama","01","Talladega","121",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Talladega County",15704
"G0101230","2000","3","6","Alabama","01","Tallapoosa","123",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Tallapoosa County",16909
"G0101250","2000","3","6","Alabama","01","Tuscaloosa","125",,,,,,,,,,,,,"8600","9999","9999",,,,,,,,"Tuscaloosa County",18998
"G0101270","2000","3","6","Alabama","01","Walker","127",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Walker County",15546
"G0101290","2000","3","6","Alabama","01","Washington","129",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Washington County",14081
"G0101310","2000","3","6","Alabama","01","Wilcox","131",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Wilcox County",10903
"G0101330","2000","3","6","Alabama","01","Winston","133",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Winston County",15738
"G0200130","2000","4","9","Alaska","02","Aleutians East","013",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Aleutians East Borough",18421
"G0200160","2000","4","9","Alaska","02","Aleutians West","016",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Aleutians West Census Area",24037
"G0200200","2000","4","9","Alaska","02","Anchorage","020",,,,,,,,,,,,,"0380","9999","9999",,,,,,,,"Anchorage Municipality",25287
"G0200500","2000","4","9","Alaska","02","Bethel","050",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bethel Census Area",12603
"G0200600","2000","4","9","Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bristol Bay Borough",22210
"G0200680","2000","4","9","Alaska","02","Denali","068",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Denali Borough",26251
"G0200700","2000","4","9","Alaska","02","Dillingham","070",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Dillingham Census Area",16021
"G0200900","2000","4","9","Alaska","02","Fairbanks North Star","090",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Fairbanks North Star Borough",21553
"G0201000","2000","4","9","Alaska","02","Haines","100",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Haines Borough",22090
"G0201100","2000","4","9","Alaska","02","Juneau","110",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Juneau City and Borough",26719
"G0201220","2000","4","9","Alaska","02","Kenai Peninsula","122",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Kenai Peninsula Borough",20949
"G0201300","2000","4","9","Alaska","02","Ketchikan Gateway","130",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Ketchikan Gateway Borough",23994
"G0201500","2000","4","9","Alaska","02","Kodiak Island","150",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Kodiak Island Borough",22195
"G0201640","2000","4","9","Alaska","02","Lake And Peninsula","164",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Lake and Peninsula Borough",15361
"G0201700","2000","4","9","Alaska","02","Matanuska-Susitna","170",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Matanuska-Susitna Borough",21105
"G0201800","2000","4","9","Alaska","02","Nome","180",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Nome Census Area",15476
"G0201850","2000","4","9","Alaska","02","North Slope","185",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"North Slope Borough",20540
"G0201880","2000","4","9","Alaska","02","Northwest Arctic","188",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Northwest Arctic Borough",15286
"G0202010","2000","4","9","Alaska","02","Prince Of Wales-Outer Ketchikan","201",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Prince of Wales-Outer Ketchikan Census Area",18395
"G0202200","2000","4","9","Alaska","02","Sitka","220",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Sitka City and Borough",23622
"G0202320","2000","4","9","Alaska","02","Skagway-Hoonah-Angoon","232",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Skagway-Hoonah-Angoon Census Area",19974
"G0202400","2000","4","9","Alaska","02","Southeast Fairbanks","240",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Southeast Fairbanks Census Area",16679
"G0202610","2000","4","9","Alaska","02","Valdez-Cordova","261",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Valdez-Cordova Census Area",23046
"G0202700","2000","4","9","Alaska","02","Wade Hampton","270",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Wade Hampton Census Area",8717
"G0202800","2000","4","9","Alaska","02","Wrangell-Petersburg","280",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Wrangell-Petersburg Census Area",23494
"G0202820","2000","4","9","Alaska","02","Yakutat","282",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Yakutat City and Borough",22579
"G0202900","2000","4","9","Alaska","02","Yukon-Koyukuk","290",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Yukon-Koyukuk Census Area",13720
"G0400010","2000","4","8","Arizona","04","Apache","001",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Apache County",8986
"G0400030","2000","4","8","Arizona","04","Cochise","003",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cochise County",15988
"G0400050","2000","4","8","Arizona","04","Coconino","005",,,,,,,,,,,,,"2620","9999","9999",,,,,,,,"Coconino County",17139
"G0400070","2000","4","8","Arizona","04","Gila","007",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Gila County",16315
"G0400090","2000","4","8","Arizona","04","Graham","009",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Graham County",12139
"G0400110","2000","4","8","Arizona","04","Greenlee","011",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Greenlee County",15814
"G0400120","2000","4","8","Arizona","04","La Paz","012",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"La Paz County",14916
"G0400130","2000","4","8","Arizona","04","Maricopa","013",,,,,,,,,,,,,"6200","9999","9999",,,,,,,,"Maricopa County",22251
"G0400150","2000","4","8","Arizona","04","Mohave","015",,,,,,,,,,,,,"4120","9999","9999",,,,,,,,"Mohave County",16788
"G0400170","2000","4","8","Arizona","04","Navajo","017",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Navajo County",11609
"G0400190","2000","4","8","Arizona","04","Pima","019",,,,,,,,,,,,,"8520","9999","9999",,,,,,,,"Pima County",19785
"G0400210","2000","4","8","Arizona","04","Pinal","021",,,,,,,,,,,,,"6200","9999","9999",,,,,,,,"Pinal County",16025
"G0400230","2000","4","8","Arizona","04","Santa Cruz","023",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Santa Cruz County",13278
"G0400250","2000","4","8","Arizona","04","Yavapai","025",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Yavapai County",19727
