GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,GI8001,GI8002,GI9001,GI9002,GI9003
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Tribal Census Tract Code,Block Group Code,Tribal Block Group Code,Consolidated City Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,Tribal Subdivision Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Primary Metropolitan Statistical Area Code,New England County Metropolitan Area Code,Urban Area Code,Urban/Rural Code,Congressional District (106th) Code,Congressional District (108th) Code,Congressional District (109th) Code,3-Digit Zip Code Tabulation Area Code,5-Digit Zip Code Tabulation Area Code,Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,Native,Foreign born,Born in state of residence,Born in other state in the United States,Born outside the United States
"G0100670","2000","3","6","Alabama","01","Henry","067",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Henry County",16126,184,12077,3936,113
"G0100690","2000","3","6","Alabama","01","Houston","069",,,,,,,,,,,,,"2180","9999","9999",,,,,,,,"Houston County",87369,1418,61325,25397,647
"G0100710","2000","3","6","Alabama","01","Jackson","071",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Jackson County",53531,395,36920,16436,175
"G0100730","2000","3","6","Alabama","01","Jefferson","073",,,,,,,,,,,,,"1000","9999","9999",,,,,,,,"Jefferson County",646555,15492,519130,123851,3574
"G0100750","2000","3","6","Alabama","01","Lamar","075",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Lamar County",15776,128,9927,5797,52
"G0100770","2000","3","6","Alabama","01","Lauderdale","077",,,,,,,,,,,,,"2650","9999","9999",,,,,,,,"Lauderdale County",87077,889,65267,21533,277
"G0100790","2000","3","6","Alabama","01","Lawrence","079",,,,,,,,,,,,,"2030","9999","9999",,,,,,,,"Lawrence County",34627,176,29834,4726,67
"G0100810","2000","3","6","Alabama","01","Lee","081",,,,,,,,,,,,,"0580","9999","9999",,,,,,,,"Lee County",112003,3089,66706,43908,1389
"G0100830","2000","3","6","Alabama","01","Limestone","083",,,,,,,,,,,,,"3440","9999","9999",,,,,,,,"Limestone County",64581,1095,47094,17112,375
"G0100850","2000","3","6","Alabama","01","Lowndes","085",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Lowndes County",13437,36,12284,1105,48
"G0100870","2000","3","6","Alabama","01","Macon","087",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Macon County",23755,350,18512,5169,74
"G0100890","2000","3","6","Alabama","01","Madison","089",,,,,,,,,,,,,"3440","9999","9999",,,,,,,,"Madison County",265724,10976,153819,107592,4313
"G0100910","2000","3","6","Alabama","01","Marengo","091",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Marengo County",22373,166,18976,3359,38
"G0100930","2000","3","6","Alabama","01","Marion","093",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Marion County",31064,150,22612,8343,109
"G0100950","2000","3","6","Alabama","01","Marshall","095",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Marshall County",78919,3312,61413,17125,381
"G0100970","2000","3","6","Alabama","01","Mobile","097",,,,,,,,,,,,,"5160","9999","9999",,,,,,,,"Mobile County",390710,9133,292956,95529,2225
"G0100990","2000","3","6","Alabama","01","Monroe","099",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Monroe County",24242,82,21193,2968,81
"G0101010","2000","3","6","Alabama","01","Montgomery","101",,,,,,,,,,,,,"5240","9999","9999",,,,,,,,"Montgomery County",219067,4443,161179,55187,2701
"G0101030","2000","3","6","Alabama","01","Morgan","103",,,,,,,,,,,,,"2030","9999","9999",,,,,,,,"Morgan County",108057,3007,80000,27619,438
"G0101050","2000","3","6","Alabama","01","Perry","105",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Perry County",11803,58,10511,1267,25
