Data Download from NCSES Interactive Data Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filters,Selected values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Year,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPEDS UnitID,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deflator: 2012 Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure: Thousands of Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<Fiscal Year>,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973
,<measures>, Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only), Total R&D Expenditures by Detailed Field and Detailed Funding Source (Standard Form Only)
[State],[IPEDS UnitID],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Total for selected values,"1,000,184","955,684","921,007","891,594","856,972","783,954","823,420","830,538","915,653","881,351","816,280","768,350","717,625","676,183","682,671","680,023","672,021","621,171","561,844","548,333","545,491","587,234","541,861","481,947","468,425","446,131","417,655","393,550","393,171","397,550","363,089","322,959","280,888","250,052","198,664","170,808","143,198","144,058","146,547","143,199","144,217","127,746","126,587","120,257","127,034","113,723","107,747"
Alabama,100654,"11,431","15,375","19,474","23,705","27,868","28,415","29,207","29,979","30,818","31,731",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,100663,"541,148","534,103","520,482","507,695","492,638","413,352","433,193","453,779","513,359","509,668",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,100706,"97,699","90,262","87,427","91,439","84,397","86,155","99,274","87,388","77,176","78,746",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,100724,"2,294","2,210","2,087","2,239","2,198","2,157","1,894","13,607","12,577","13,880",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,100751,"74,173","65,370","58,623","59,045","55,573","51,254","54,487","55,885","54,662","42,412",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,100830,-,-,-,-,-,-,-,-,763,365,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,100858,"206,198","193,340","176,325","143,844","129,689","137,430","144,690","133,013","166,468","150,988",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,101480,"2,162","2,731","2,890","3,050","3,094",-,-,-,636,414,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,101879,-,-,-,-,-,-,-,-,166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,101912,-,-,-,912,-,931,-,724,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,102094,"46,774","37,280","38,380","44,055","41,724","40,202","39,890","40,172","43,043","36,937",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,102377,"18,305","15,014","15,318","15,609","19,792","24,060","20,785","15,991","15,986","16,212",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alabama,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"816,280","768,350","717,625","676,183","682,671","680,023","672,021","621,171","561,844","548,333","545,491","587,234","541,861","481,947","468,425","446,131","417,655","393,550","393,171","397,550","363,089","322,959","280,888","250,052","198,664","170,808","143,198","144,058","146,547","143,199","144,217","127,746","126,587","120,257","127,034","113,723","107,747"
Alaska,Total for selected values,"150,715","150,003","163,434","157,935","155,563","168,240","181,290","181,983","189,508","188,208","182,388","175,447","185,221","190,714","177,106","173,985","173,472","159,003","149,391","138,452","123,451","101,428","95,852","97,983","100,815","108,310","97,003","100,827","102,443","102,984","92,385","84,418","83,147","80,849","78,034","75,920","73,911","79,892","78,989","99,719","95,297","109,962","105,165","91,290","70,820","69,959","66,073"
Alaska,102553,"19,340","19,156","19,325","18,769","16,639","16,541","19,906","20,194","18,977","17,385",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alaska,102614,"128,602","127,955","141,451","136,177","136,219","150,240","159,853","160,407","168,705","168,541",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alaska,102632,"1,194","1,490","1,502","1,707","1,515","1,458","1,532","1,382","1,298","1,830",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alaska,102669,"1,579","1,402","1,156","1,282","1,189",-,-,-,528,452,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alaska,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"182,388","175,447","185,221","190,714","177,106","173,985","173,472","159,003","149,391","138,452","123,451","101,428","95,852","97,983","100,815","108,310","97,003","100,827","102,443","102,984","92,385","84,418","83,147","80,849","78,034","75,920","73,911","79,892","78,989","99,719","95,297","109,962","105,165","91,290","70,820","69,959","66,073"
Arizona,Total for selected values,"1,276,771","1,233,925","1,124,122","1,097,170","1,049,576","1,010,156","1,046,765","1,039,424","1,016,835","983,029","952,089","898,228","863,408","863,116","837,936","785,785","765,292","655,267","627,334","596,561","575,204","539,297","506,162","513,619","529,054","486,980","450,841","445,207","431,648","410,523","364,702","337,257","317,748","288,628","250,746","224,617","220,660","205,723","197,958","182,536","173,136","139,118","125,053","118,123","112,363","114,082","120,978"
Arizona,103778,-,-,-,-,-,965,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arizona,104151,-,-,-,-,"437,463","411,508","398,166","385,959","362,028","342,673",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arizona,104179,"653,681","623,869","576,388","570,601","578,516","567,215","618,609","625,365","622,275","610,387",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arizona,105297,"1,002","1,124",-,-,-,-,-,-,977,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arizona,105330,"52,448","48,033","42,847","37,363","33,597","30,469","29,990","28,100","31,375","29,969",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arizona,105589,-,-,-,-,-,-,-,-,179,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arizona,420246,205,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arizona,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"952,089","898,228","863,408","863,116","837,936","785,785","765,292","655,267","627,334","596,561","575,204","539,297","506,162","513,619","529,054","486,980","450,841","445,207","431,648","410,523","364,702","337,257","317,748","288,628","250,746","224,617","220,660","205,723","197,958","182,536","173,136","139,118","125,053","118,123","112,363","114,082","120,978"
Arizona,No match or exact match for IPEDS UnitID,"569,435","560,899","504,887","489,207",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arkansas,Total for selected values,"324,745","311,510","289,521","281,775","280,082","275,551","289,491","289,364","288,049","278,226","266,183","275,039","273,247","274,907","251,780","237,223","234,339","173,732","178,356","168,895","147,150","155,557","144,943","134,180","131,154","121,681","115,059","95,246","88,917","80,124","74,551","67,046","64,867","66,124","57,666","52,764","57,230","73,167","65,516","71,637","72,858","57,555","50,195","50,808","46,290","41,029","40,861"
Arkansas,106245,"8,880","7,416","6,330","7,178","6,683","7,782","12,881","10,500","12,270","11,452",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arkansas,106263,"136,328","126,384","119,046","118,354","126,398","126,773","131,371","129,056","124,407","124,355",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arkansas,106342,-,-,-,-,-,-,-,-,182,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arkansas,106397,"160,445","159,355","146,173","136,896","127,552","121,358","123,336","123,199","122,309","118,519",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arkansas,106412,"8,034","7,581","7,537","8,376","8,040","7,907","8,757","9,082","9,596","8,681",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arkansas,106458,"7,963","7,487","7,366","7,711","8,067","7,812","10,283","14,250","13,693","11,565",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arkansas,106467,-,-,-,-,-,-,-,-,418,195,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arkansas,106704,"3,095","3,287","3,069","3,260","3,342","3,920","2,863","3,277","2,875","2,778",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arkansas,107044,-,-,-,-,-,-,-,-,289,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arkansas,107080,-,-,-,-,-,-,-,-,989,683,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arkansas,107512,-,-,-,-,-,-,-,-,228,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arkansas,107600,-,-,-,-,-,-,-,-,529,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arkansas,107983,-,-,-,-,-,-,-,-,264,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arkansas,IPEDS UnitID not collected before 2010,-,-,-,-,-,-,-,-,-,-,"266,183","275,039","273,247","274,907","251,780","237,223","234,339","173,732","178,356","168,895","147,150","155,557","144,943","134,180","131,154","121,681","115,059","95,246","88,917","80,124","74,551","67,046","64,867","66,124","57,666","52,764","57,230","73,167","65,516","71,637","72,858","57,555","50,195","50,808","46,290","41,029","40,861"
California,Total for selected values,"9,338,755","9,236,854","8,546,131","8,389,355","8,260,765","8,105,494","8,213,737","8,401,638","8,383,180","8,149,743","8,057,387","7,698,239","7,512,806","7,430,655","7,300,465","7,220,738","6,619,213","6,030,610","5,550,715","5,210,006","4,799,180","4,505,787","4,196,811","3,947,532","3,713,065","3,597,388","3,549,114","3,552,703","3,321,241","3,208,130","3,067,648","2,972,115","2,779,338","2,528,118","2,301,549","2,109,145","1,994,527","1,903,566","1,923,190","1,854,024","1,708,749","1,636,346","1,608,011","1,590,156","1,535,865","1,434,973","1,517,039"
California,109785,"4,984","7,609","7,809","8,400","7,177",-,-,"2,056","3,689",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110097,"1,028",985,958,944,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110398,-,877,-,-,-,-,-,-,181,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110404,"356,037","355,038","370,837","350,273","357,313","354,150","341,118","379,713","384,755","376,828",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110413,"1,018",-,-,-,-,-,-,-,755,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110422,"27,529","14,848","16,655","17,068","15,567","14,560","15,790","17,412","16,849","20,531",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110468,-,-,-,-,-,-,-,732,"1,132",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110486,"6,758","5,064","4,309","2,984","3,046","2,346","2,557","1,241","3,223","2,167",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110495,"1,315","1,266","1,264","1,178","1,031","1,096","1,319","1,881","1,516",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110510,"14,299","15,166","11,972","10,168","14,617","13,100","11,736","9,303","11,813","4,357",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110529,"5,430","7,303","5,431","4,960","4,400","5,261","6,867","6,597","7,336","6,756",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110538,"2,877","2,226","1,482","2,231","1,753","2,299","2,819","2,492","2,735","2,998",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110547,"1,742","1,855","1,721","2,634","2,440","3,486","4,590","2,894","2,833","2,854",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110556,"7,655","8,161","7,505","8,105","8,230","7,821","7,550","8,359","8,762","9,050",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110565,"6,386","5,764","5,104","5,433","5,355","7,638","18,159","22,222","28,727","22,657",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110574,-,-,-,790,-,-,918,"1,039","1,676","1,365",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110583,"16,616","20,775","17,420","15,472","8,426","9,739","12,575","13,696","14,875","16,121",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110592,"11,107","8,712","7,665","5,070","4,781","4,988","7,527","7,192","8,992","8,026",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110608,"18,780","17,814","16,655","15,415","12,724","12,530","9,474","29,491","26,146","30,662",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110617,"20,960","19,458","19,552","19,518","17,111","12,670","15,296","14,053","16,657","15,822",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110635,"714,807","723,241","714,067","730,880","752,471","717,924","714,463","730,348","721,523","722,136",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110644,"716,009","716,274","683,983","700,330","688,125","686,460","713,217","713,292","721,473","707,430",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110653,"399,691","387,370","334,803","325,974","314,727","327,986","341,775","350,030","351,289","340,851",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110662,"1,162,997","1,196,868","997,624","979,404","974,558","914,543","949,986","1,003,375","1,001,198","974,913",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110671,"158,157","152,408","151,584","143,705","137,907","128,818","130,330","135,494","134,774","135,560",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110680,"1,205,183","1,148,822","1,049,998","1,026,215","1,051,130","1,029,503","1,057,003","1,073,864","1,028,737","981,389",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110699,"1,420,031","1,448,954","1,305,625","1,221,755","1,075,135","1,045,555","1,024,854","1,032,673","1,014,314","973,367",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110705,"217,023","213,533","220,704","217,246","212,685","223,112","232,418","233,883","234,855","234,865",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,110714,"127,268","115,807","115,189","142,722","144,780","146,348","148,176","155,516","158,602","149,743",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,111188,"2,634","2,759","1,780","2,081","1,472",975,"2,437","2,793","3,063",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,111948,"17,442","12,840","9,844","6,187","5,108","4,624","4,386","3,314","3,615","3,985",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,111966,"12,231","10,433","14,500","12,612","13,482","19,952","18,227","20,580","22,575","23,048",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,112251,"7,758","8,063","8,379","8,694","8,947","9,201","9,538","10,350","6,715","7,404",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,112260,"5,532","5,169","5,390","5,753",-,"5,269","5,321","5,365","5,418","5,957",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,112525,"4,408","4,667","5,731","6,509","4,680","5,280","3,657","3,005","1,802","1,858",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,113698,-,-,-,-,-,-,-,-,966,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,114840,-,"1,914","1,733","1,542","2,861","2,996","2,289",-,858,400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,115409,"2,985","3,441","3,472","4,089","3,122","3,016","3,533","3,512","3,935","3,344",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,115755,"13,421","13,660","14,793","15,239","10,705","8,011","7,887","9,510","9,754","10,243",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,117627,"1,407","2,022","2,040","1,185","1,112","1,019",-,-,746,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,117636,"21,729","20,814","20,237","21,690","24,353","22,545","31,168","31,772","40,165","37,446",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,117946,"6,474","7,183","6,550","7,084","6,097","7,364","6,649","5,746","6,579","4,741",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,118888,"1,463","1,680","3,106","3,342","3,015","3,491","3,802","2,747","2,280","1,747",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,119173,-,-,-,-,-,-,-,-,638,673,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,119605,-,-,-,"2,266","2,200","2,078","4,430","4,482","3,194",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
