"GEO_ID","NAME","B05002_001E","B05002_001M","B05002_002E","B05002_002M","B05002_003E","B05002_003M","B05002_004E","B05002_004M","B05002_005E","B05002_005M","B05002_006E","B05002_006M","B05002_007E","B05002_007M","B05002_008E","B05002_008M","B05002_009E","B05002_009M","B05002_010E","B05002_010M","B05002_011E","B05002_011M","B05002_012E","B05002_012M","B05002_013E","B05002_013M","B05002_014E","B05002_014M","B05002_015E","B05002_015M","B05002_016E","B05002_016M","B05002_017E","B05002_017M","B05002_018E","B05002_018M","B05002_019E","B05002_019M","B05002_020E","B05002_020M","B05002_021E","B05002_021M","B05002_022E","B05002_022M","B05002_023E","B05002_023M","B05002_024E","B05002_024M","B05002_025E","B05002_025M","B05002_026E","B05002_026M","B05002_027E","B05002_027M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Estimate!!Total!!Native!!Born in state of residence","Margin of Error!!Total!!Native!!Born in state of residence","Estimate!!Total!!Native!!Born in other state in the United States","Margin of Error!!Total!!Native!!Born in other state in the United States","Estimate!!Total!!Native!!Born in other state in the United States!!Northeast","Margin of Error!!Total!!Native!!Born in other state in the United States!!Northeast","Estimate!!Total!!Native!!Born in other state in the United States!!Midwest","Margin of Error!!Total!!Native!!Born in other state in the United States!!Midwest","Estimate!!Total!!Native!!Born in other state in the United States!!South","Margin of Error!!Total!!Native!!Born in other state in the United States!!South","Estimate!!Total!!Native!!Born in other state in the United States!!West","Margin of Error!!Total!!Native!!Born in other state in the United States!!West","Estimate!!Total!!Native!!Born outside the United States","Margin of Error!!Total!!Native!!Born outside the United States","Estimate!!Total!!Native!!Born outside the United States!!Puerto Rico","Margin of Error!!Total!!Native!!Born outside the United States!!Puerto Rico","Estimate!!Total!!Native!!Born outside the United States!!U.S. Island Areas","Margin of Error!!Total!!Native!!Born outside the United States!!U.S. Island Areas","Estimate!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s)","Margin of Error!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s)","Estimate!!Total!!Foreign born","Margin of Error!!Total!!Foreign born","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Europe","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Europe","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Asia","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Asia","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Africa","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Africa","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Oceania","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Oceania","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Latin America","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Latin America","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Northern America","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Northern America","Estimate!!Total!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Europe","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Europe","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Asia","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Asia","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Africa","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Africa","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Oceania","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Oceania","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Latin America","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Latin America","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Northern America","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Northern America"
"0100000US","United States","321004407","*****","277976280","123808","187762476","63267","85320418","107373","20255864","48159","22934044","44190","26565882","47301","15564628","30291","4893386","20169","1716971","11065","208973","4165","2967442","16801","43028127","123858","20690362","32310","3094094","14145","7680272","19033","1098243","11053","95647","2812","8335616","26830","386251","4467","22337765","129209","1700525","10994","5433562","32495","939254","11698","151018","3656","13673655","95602","439316","4848"
"0500000US17031","Cook County, Illinois","5238541","*****","4133162","8097","3230676","9374","822928","6549","121452","2148","309400","4252","295102","3645","96974","2174","79558","2608","36221","1734","923","262","42414","1911","1105379","8097","544484","5514","161943","3212","175141","2524","21719","1426","538","136","181613","3582","3530","368","560895","5877","86986","2638","126817","2925","18507","1506","1510","314","322172","3939","4903","493"
