"GEO_ID","NAME","B05002_001E","B05002_001M","B05002_002E","B05002_002M","B05002_003E","B05002_003M","B05002_004E","B05002_004M","B05002_005E","B05002_005M","B05002_006E","B05002_006M","B05002_007E","B05002_007M","B05002_008E","B05002_008M","B05002_009E","B05002_009M","B05002_010E","B05002_010M","B05002_011E","B05002_011M","B05002_012E","B05002_012M","B05002_013E","B05002_013M","B05002_014E","B05002_014M","B05002_015E","B05002_015M","B05002_016E","B05002_016M","B05002_017E","B05002_017M","B05002_018E","B05002_018M","B05002_019E","B05002_019M","B05002_020E","B05002_020M","B05002_021E","B05002_021M","B05002_022E","B05002_022M","B05002_023E","B05002_023M","B05002_024E","B05002_024M","B05002_025E","B05002_025M","B05002_026E","B05002_026M","B05002_027E","B05002_027M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Native:","Margin of Error!!Total:!!Native:","Estimate!!Total:!!Native:!!Born in state of residence","Margin of Error!!Total:!!Native:!!Born in state of residence","Estimate!!Total:!!Native:!!Born in other state in the United States:","Margin of Error!!Total:!!Native:!!Born in other state in the United States:","Estimate!!Total:!!Native:!!Born in other state in the United States:!!Northeast","Margin of Error!!Total:!!Native:!!Born in other state in the United States:!!Northeast","Estimate!!Total:!!Native:!!Born in other state in the United States:!!Midwest","Margin of Error!!Total:!!Native:!!Born in other state in the United States:!!Midwest","Estimate!!Total:!!Native:!!Born in other state in the United States:!!South","Margin of Error!!Total:!!Native:!!Born in other state in the United States:!!South","Estimate!!Total:!!Native:!!Born in other state in the United States:!!West","Margin of Error!!Total:!!Native:!!Born in other state in the United States:!!West","Estimate!!Total:!!Native:!!Born outside the United States:","Margin of Error!!Total:!!Native:!!Born outside the United States:","Estimate!!Total:!!Native:!!Born outside the United States:!!Puerto Rico","Margin of Error!!Total:!!Native:!!Born outside the United States:!!Puerto Rico","Estimate!!Total:!!Native:!!Born outside the United States:!!U.S. Island Areas","Margin of Error!!Total:!!Native:!!Born outside the United States:!!U.S. Island Areas","Estimate!!Total:!!Native:!!Born outside the United States:!!Born abroad of American parent(s)","Margin of Error!!Total:!!Native:!!Born outside the United States:!!Born abroad of American parent(s)","Estimate!!Total:!!Foreign born:","Margin of Error!!Total:!!Foreign born:","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Europe","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Europe","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Asia","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Asia","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Africa","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Africa","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Oceania","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Oceania","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Latin America","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Latin America","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Northern America","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Northern America","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen!!Europe","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen!!Europe","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen!!Asia","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen!!Asia","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen!!Africa","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen!!Africa","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen!!Oceania","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen!!Oceania","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen!!Latin America","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen!!Latin America","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen!!Northern America","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen!!Northern America"
"0100000US","United States","324697795","*****","280685925","142237","189033094","72648","86504176","118232","20497219","43706","23073482","49827","26822137","49530","16111338","32588","5148655","24644","1814284","13975","204884","4982","3129487","19246","44011870","142271","21847890","35680","3112692","14342","8029155","24473","1253276","11755","109350","2938","8950183","30343","393056","4436","22163980","148620","1651153","13392","5612525","38256","1003397","14481","161873","2808","13311450","112437","423297","5844"
"0500000US17031","Cook County, Illinois","5198275","*****","4099447","8174","3198804","8380","819189","6367","126057","2622","307942","4825","285998","3634","99192","2924","81454","2464","35139","1564","763","241","45552","1854","1098828","8174","556813","5062","162015","3299","179804","2606","23618","1374","561","154","186852","3124","3963","430","542015","6911","83085","2872","131656","3191","18461","1653","1504","378","302141","4835","5168","548"
